"","Country","Year","Variable","Source","Value","Unit"
"48","MYANMAR",1966,"ARABLE LAND","FAO",9940,"000 Ha"
"49","MYANMAR",1965,"ARABLE LAND","FAO",9930,"000 Ha"
"50","MYANMAR",1964,"ARABLE LAND","FAO",9930,"000 Ha"
"51","MYANMAR",1963,"ARABLE LAND","FAO",9920,"000 Ha"
"52","MYANMAR",1962,"ARABLE LAND","FAO",9910,"000 Ha"
"53","MYANMAR",1961,"ARABLE LAND","FAO",9900,"000 Ha"
"54","MYANMAR",2015,"BEGINNING STOCK - MILLED RICE","USDA",572,"000 t"
"55","MYANMAR",2014,"BEGINNING STOCK - MILLED RICE","USDA",372,"000 t"
"56","MYANMAR",2013,"BEGINNING STOCK - MILLED RICE","USDA",553,"000 t"
"57","MYANMAR",2012,"BEGINNING STOCK - MILLED RICE","USDA",401,"000 t"
"58","MYANMAR",2011,"BEGINNING STOCK - MILLED RICE","USDA",485,"000 t"
"59","MYANMAR",2010,"BEGINNING STOCK - MILLED RICE","USDA",600,"000 t"
"60","MYANMAR",2009,"BEGINNING STOCK - MILLED RICE","USDA",548,"000 t"
"61","MYANMAR",2008,"BEGINNING STOCK - MILLED RICE","USDA",1200,"000 t"
"62","MYANMAR",2007,"BEGINNING STOCK - MILLED RICE","USDA",601,"000 t"
"63","MYANMAR",2006,"BEGINNING STOCK - MILLED RICE","USDA",702,"000 t"
"64","MYANMAR",2005,"BEGINNING STOCK - MILLED RICE","USDA",709,"000 t"
"65","MYANMAR",2004,"BEGINNING STOCK - MILLED RICE","USDA",1629,"000 t"
"66","MYANMAR",2003,"BEGINNING STOCK - MILLED RICE","USDA",1229,"000 t"
"67","MYANMAR",2002,"BEGINNING STOCK - MILLED RICE","USDA",929,"000 t"
"68","MYANMAR",2001,"BEGINNING STOCK - MILLED RICE","USDA",1388,"000 t"
"69","MYANMAR",2000,"BEGINNING STOCK - MILLED RICE","USDA",984,"000 t"
"70","MYANMAR",1999,"BEGINNING STOCK - MILLED RICE","USDA",776,"000 t"
"71","MYANMAR",1998,"BEGINNING STOCK - MILLED RICE","USDA",902,"000 t"
"72","MYANMAR",1997,"BEGINNING STOCK - MILLED RICE","USDA",1346,"000 t"
"73","MYANMAR",1996,"BEGINNING STOCK - MILLED RICE","USDA",1411,"000 t"
"74","MYANMAR",1995,"BEGINNING STOCK - MILLED RICE","USDA",666,"000 t"
"75","MYANMAR",1994,"BEGINNING STOCK - MILLED RICE","USDA",681,"000 t"
"76","MYANMAR",1993,"BEGINNING STOCK - MILLED RICE","USDA",866,"000 t"
"77","MYANMAR",1992,"BEGINNING STOCK - MILLED RICE","USDA",1366,"000 t"
"78","MYANMAR",1991,"BEGINNING STOCK - MILLED RICE","USDA",1777,"000 t"
"79","MYANMAR",1990,"BEGINNING STOCK - MILLED RICE","USDA",1360,"000 t"
"80","MYANMAR",1989,"BEGINNING STOCK - MILLED RICE","USDA",502,"000 t"
"81","MYANMAR",1988,"BEGINNING STOCK - MILLED RICE","USDA",179,"000 t"
"82","MYANMAR",1987,"BEGINNING STOCK - MILLED RICE","USDA",307,"000 t"
"83","MYANMAR",1986,"BEGINNING STOCK - MILLED RICE","USDA",200,"000 t"
"84","MYANMAR",2013,"BROKEN RICE","WTO",5,"$/kg"
"85","MYANMAR",2012,"BROKEN RICE","WTO",5,"$/kg"
"86","MYANMAR",2011,"BROKEN RICE","WTO",5,"$/kg"
"87","MYANMAR",2010,"BROKEN RICE","WTO",5,"$/kg"
"88","MYANMAR",2008,"BROKEN RICE","WTO",5,"$/kg"
"89","MYANMAR",2007,"BROKEN RICE","WTO",5,"$/kg"
"90","MYANMAR",2006,"BROKEN RICE","WTO",5,"$/kg"
"91","MYANMAR",2013,"CONSUMER PRICE INDEX","WB",112.45,"2010 = 100"
"92","MYANMAR",2012,"CONSUMER PRICE INDEX","WB",106.56,"2010 = 100"
"93","MYANMAR",2011,"CONSUMER PRICE INDEX","WB",105.02,"2010 = 100"
"94","MYANMAR",2010,"CONSUMER PRICE INDEX","WB",100,"2010 = 100"
"95","MYANMAR",2009,"CONSUMER PRICE INDEX","WB",92.83,"2010 = 100"
"96","MYANMAR",2008,"CONSUMER PRICE INDEX","WB",91.49,"2010 = 100"
"97","MYANMAR",2007,"CONSUMER PRICE INDEX","WB",72.15,"2010 = 100"
"98","MYANMAR",2006,"CONSUMER PRICE INDEX","WB",53.44,"2010 = 100"
"99","MYANMAR",2005,"CONSUMER PRICE INDEX","WB",44.53,"2010 = 100"
"100","MYANMAR",2004,"CONSUMER PRICE INDEX","WB",40.72,"2010 = 100"
"101","MYANMAR",2003,"CONSUMER PRICE INDEX","WB",38.95,"2010 = 100"
"102","MYANMAR",2002,"CONSUMER PRICE INDEX","WB",28.52,"2010 = 100"
"103","MYANMAR",2001,"CONSUMER PRICE INDEX","WB",18.15,"2010 = 100"
"104","MYANMAR",2000,"CONSUMER PRICE INDEX","WB",14.99,"2010 = 100"
"105","MYANMAR",1999,"CONSUMER PRICE INDEX","WB",15.01,"2010 = 100"
"106","MYANMAR",1998,"CONSUMER PRICE INDEX","WB",12.68,"2010 = 100"
"107","MYANMAR",1997,"CONSUMER PRICE INDEX","WB",8.37,"2010 = 100"
"108","MYANMAR",1996,"CONSUMER PRICE INDEX","WB",6.45,"2010 = 100"
"109","MYANMAR",1995,"CONSUMER PRICE INDEX","WB",5.55,"2010 = 100"
"110","MYANMAR",1994,"CONSUMER PRICE INDEX","WB",4.43,"2010 = 100"
"111","MYANMAR",1993,"CONSUMER PRICE INDEX","WB",3.57,"2010 = 100"
"112","MYANMAR",1992,"CONSUMER PRICE INDEX","WB",2.71,"2010 = 100"
"113","MYANMAR",1991,"CONSUMER PRICE INDEX","WB",2.22,"2010 = 100"
"114","MYANMAR",1990,"CONSUMER PRICE INDEX","WB",1.68,"2010 = 100"
"115","MYANMAR",1989,"CONSUMER PRICE INDEX","WB",1.43,"2010 = 100"
"116","MYANMAR",1988,"CONSUMER PRICE INDEX","WB",1.12,"2010 = 100"
"117","MYANMAR",1987,"CONSUMER PRICE INDEX","WB",0.97,"2010 = 100"
"118","MYANMAR",1986,"CONSUMER PRICE INDEX","WB",0.78,"2010 = 100"
"119","MYANMAR",1985,"CONSUMER PRICE INDEX","WB",0.71,"2010 = 100"
"120","MYANMAR",1984,"CONSUMER PRICE INDEX","WB",0.66,"2010 = 100"
"121","MYANMAR",1983,"CONSUMER PRICE INDEX","WB",0.63,"2010 = 100"
"122","MYANMAR",1982,"CONSUMER PRICE INDEX","WB",0.6,"2010 = 100"
"123","MYANMAR",1981,"CONSUMER PRICE INDEX","WB",0.57,"2010 = 100"
"124","MYANMAR",1980,"CONSUMER PRICE INDEX","WB",0.57,"2010 = 100"
"125","MYANMAR",1979,"CONSUMER PRICE INDEX","WB",0.56,"2010 = 100"
"126","MYANMAR",1978,"CONSUMER PRICE INDEX","WB",0.53,"2010 = 100"
"127","MYANMAR",1977,"CONSUMER PRICE INDEX","WB",0.57,"2010 = 100"
"128","MYANMAR",1976,"CONSUMER PRICE INDEX","WB",0.57,"2010 = 100"
"129","MYANMAR",1975,"CONSUMER PRICE INDEX","WB",0.47,"2010 = 100"
"130","MYANMAR",1974,"CONSUMER PRICE INDEX","WB",0.36,"2010 = 100"
"131","MYANMAR",1973,"CONSUMER PRICE INDEX","WB",0.28,"2010 = 100"
"132","MYANMAR",1972,"CONSUMER PRICE INDEX","WB",0.23,"2010 = 100"
"133","MYANMAR",1971,"CONSUMER PRICE INDEX","WB",0.21,"2010 = 100"
"134","MYANMAR",1970,"CONSUMER PRICE INDEX","WB",0.21,"2010 = 100"
"135","MYANMAR",1969,"CONSUMER PRICE INDEX","WB",0.22,"2010 = 100"
"136","MYANMAR",1968,"CONSUMER PRICE INDEX","WB",0.23,"2010 = 100"
"137","MYANMAR",1967,"CONSUMER PRICE INDEX","WB",0.22,"2010 = 100"
"138","MYANMAR",1966,"CONSUMER PRICE INDEX","WB",0.22,"2010 = 100"
"139","MYANMAR",1965,"CONSUMER PRICE INDEX","WB",0.17,"2010 = 100"
"140","MYANMAR",1964,"CONSUMER PRICE INDEX","WB",0.15,"2010 = 100"
"141","MYANMAR",1963,"CONSUMER PRICE INDEX","WB",0.15,"2010 = 100"
"142","MYANMAR",1962,"CONSUMER PRICE INDEX","WB",0.15,"2010 = 100"
"143","MYANMAR",1961,"CONSUMER PRICE INDEX","WB",0.16,"2010 = 100"
"144","MYANMAR",1960,"CONSUMER PRICE INDEX","WB",0.16,"2010 = 100"
"145","MYANMAR",2014,"DRAFT ANIMALS","FAO",3426,"000 animals"
"146","MYANMAR",2013,"DRAFT ANIMALS","FAO",3250,"000 animals"
"147","MYANMAR",2012,"DRAFT ANIMALS","FAO",3200,"000 animals"
"148","MYANMAR",2011,"DRAFT ANIMALS","FAO",3096.89,"000 animals"
"149","MYANMAR",2010,"DRAFT ANIMALS","FAO",2977.15,"000 animals"
"150","MYANMAR",2009,"DRAFT ANIMALS","FAO",2874.86,"000 animals"
"151","MYANMAR",2008,"DRAFT ANIMALS","FAO",2923.57,"000 animals"
"152","MYANMAR",2007,"DRAFT ANIMALS","FAO",2841.73,"000 animals"
"153","MYANMAR",2006,"DRAFT ANIMALS","FAO",2769.66,"000 animals"
"154","MYANMAR",2005,"DRAFT ANIMALS","FAO",2704.54,"000 animals"
"155","MYANMAR",2004,"DRAFT ANIMALS","FAO",2648.74,"000 animals"
"156","MYANMAR",2003,"DRAFT ANIMALS","FAO",2598.04,"000 animals"
"157","MYANMAR",2002,"DRAFT ANIMALS","FAO",2552.02,"000 animals"
"158","MYANMAR",2001,"DRAFT ANIMALS","FAO",2502,"000 animals"
"159","MYANMAR",2000,"DRAFT ANIMALS","FAO",2441.24,"000 animals"
"160","MYANMAR",1999,"DRAFT ANIMALS","FAO",2391.02,"000 animals"
"161","MYANMAR",1998,"DRAFT ANIMALS","FAO",2336.56,"000 animals"
"162","MYANMAR",1997,"DRAFT ANIMALS","FAO",2297.14,"000 animals"
"163","MYANMAR",1996,"DRAFT ANIMALS","FAO",2265.62,"000 animals"
"164","MYANMAR",1995,"DRAFT ANIMALS","FAO",2203.2,"000 animals"
"165","MYANMAR",1994,"DRAFT ANIMALS","FAO",2130.02,"000 animals"
"166","MYANMAR",1993,"DRAFT ANIMALS","FAO",2111,"000 animals"
"167","MYANMAR",1992,"DRAFT ANIMALS","FAO",2101,"000 animals"
"168","MYANMAR",1991,"DRAFT ANIMALS","FAO",2072,"000 animals"
"169","MYANMAR",1990,"DRAFT ANIMALS","FAO",2061,"000 animals"
"170","MYANMAR",1989,"DRAFT ANIMALS","FAO",2021,"000 animals"
"171","MYANMAR",1988,"DRAFT ANIMALS","FAO",2244.88,"000 animals"
"172","MYANMAR",1987,"DRAFT ANIMALS","FAO",2188.48,"000 animals"
"173","MYANMAR",1986,"DRAFT ANIMALS","FAO",2154.6,"000 animals"
"174","MYANMAR",1985,"DRAFT ANIMALS","FAO",2143,"000 animals"
"175","MYANMAR",1984,"DRAFT ANIMALS","FAO",2079,"000 animals"
"176","MYANMAR",1983,"DRAFT ANIMALS","FAO",2049,"000 animals"
"177","MYANMAR",1982,"DRAFT ANIMALS","FAO",2018,"000 animals"
"178","MYANMAR",1981,"DRAFT ANIMALS","FAO",1969,"000 animals"
"179","MYANMAR",1980,"DRAFT ANIMALS","FAO",1901,"000 animals"
"180","MYANMAR",1979,"DRAFT ANIMALS","FAO",1817,"000 animals"
"181","MYANMAR",1978,"DRAFT ANIMALS","FAO",1769,"000 animals"
"182","MYANMAR",1977,"DRAFT ANIMALS","FAO",1729.1,"000 animals"
"183","MYANMAR",1976,"DRAFT ANIMALS","FAO",1723.48,"000 animals"
"184","MYANMAR",1975,"DRAFT ANIMALS","FAO",1718.44,"000 animals"
"185","MYANMAR",1974,"DRAFT ANIMALS","FAO",1689.82,"000 animals"
"186","MYANMAR",1973,"DRAFT ANIMALS","FAO",1671,"000 animals"
"187","MYANMAR",1972,"DRAFT ANIMALS","FAO",1643,"000 animals"
"188","MYANMAR",1971,"DRAFT ANIMALS","FAO",1597.5,"000 animals"
"189","MYANMAR",1970,"DRAFT ANIMALS","FAO",1540.72,"000 animals"
"190","MYANMAR",1969,"DRAFT ANIMALS","FAO",1495.62,"000 animals"
"191","MYANMAR",1968,"DRAFT ANIMALS","FAO",1462.9,"000 animals"
"192","MYANMAR",1967,"DRAFT ANIMALS","FAO",1330,"000 animals"
"193","MYANMAR",1966,"DRAFT ANIMALS","FAO",1258.52,"000 animals"
"194","MYANMAR",1965,"DRAFT ANIMALS","FAO",1225.42,"000 animals"
"195","MYANMAR",1964,"DRAFT ANIMALS","FAO",1230.28,"000 animals"
"196","MYANMAR",1963,"DRAFT ANIMALS","FAO",1060.55,"000 animals"
"197","MYANMAR",1962,"DRAFT ANIMALS","FAO",1019.77,"000 animals"
"198","MYANMAR",1961,"DRAFT ANIMALS","FAO",1048.52,"000 animals"
"199","MYANMAR",2015,"ENDING STOCK - MILLED RICE","USDA",322,"000 t"
"200","MYANMAR",2014,"ENDING STOCK - MILLED RICE","USDA",572,"000 t"
"201","MYANMAR",2013,"ENDING STOCK - MILLED RICE","USDA",372,"000 t"
"202","MYANMAR",2012,"ENDING STOCK - MILLED RICE","USDA",553,"000 t"
"203","MYANMAR",2011,"ENDING STOCK - MILLED RICE","USDA",401,"000 t"
"204","MYANMAR",2010,"ENDING STOCK - MILLED RICE","USDA",485,"000 t"
"205","MYANMAR",2009,"ENDING STOCK - MILLED RICE","USDA",600,"000 t"
"206","MYANMAR",2008,"ENDING STOCK - MILLED RICE","USDA",548,"000 t"
"207","MYANMAR",2007,"ENDING STOCK - MILLED RICE","USDA",1200,"000 t"
"208","MYANMAR",2006,"ENDING STOCK - MILLED RICE","USDA",601,"000 t"
"209","MYANMAR",2005,"ENDING STOCK - MILLED RICE","USDA",702,"000 t"
"210","MYANMAR",2004,"ENDING STOCK - MILLED RICE","USDA",709,"000 t"
"211","MYANMAR",2003,"ENDING STOCK - MILLED RICE","USDA",1629,"000 t"
"212","MYANMAR",2002,"ENDING STOCK - MILLED RICE","USDA",1229,"000 t"
"213","MYANMAR",2001,"ENDING STOCK - MILLED RICE","USDA",929,"000 t"
"214","MYANMAR",2000,"ENDING STOCK - MILLED RICE","USDA",1388,"000 t"
"215","MYANMAR",1999,"ENDING STOCK - MILLED RICE","USDA",984,"000 t"
"216","MYANMAR",1998,"ENDING STOCK - MILLED RICE","USDA",776,"000 t"
"217","MYANMAR",1997,"ENDING STOCK - MILLED RICE","USDA",902,"000 t"
"218","MYANMAR",1996,"ENDING STOCK - MILLED RICE","USDA",1346,"000 t"
"219","MYANMAR",1995,"ENDING STOCK - MILLED RICE","USDA",1411,"000 t"
"220","MYANMAR",1994,"ENDING STOCK - MILLED RICE","USDA",666,"000 t"
"221","MYANMAR",1993,"ENDING STOCK - MILLED RICE","USDA",681,"000 t"
"222","MYANMAR",1992,"ENDING STOCK - MILLED RICE","USDA",866,"000 t"
"223","MYANMAR",1991,"ENDING STOCK - MILLED RICE","USDA",1366,"000 t"
"224","MYANMAR",1990,"ENDING STOCK - MILLED RICE","USDA",1777,"000 t"
"225","MYANMAR",1989,"ENDING STOCK - MILLED RICE","USDA",1360,"000 t"
"226","MYANMAR",1988,"ENDING STOCK - MILLED RICE","USDA",502,"000 t"
"227","MYANMAR",1987,"ENDING STOCK - MILLED RICE","USDA",179,"000 t"
"228","MYANMAR",1986,"ENDING STOCK - MILLED RICE","USDA",307,"000 t"
"229","MYANMAR",1985,"ENDING STOCK - MILLED RICE","USDA",200,"000 t"
"230","MYANMAR",2013,"EXPORT QUANTITY","FAO",484.11,"000 t"
"231","MYANMAR",2012,"EXPORT QUANTITY","FAO",455.3,"000 t"
"232","MYANMAR",2011,"EXPORT QUANTITY","FAO",867.42,"000 t"
"233","MYANMAR",2010,"EXPORT QUANTITY","FAO",592.81,"000 t"
"234","MYANMAR",2009,"EXPORT QUANTITY","FAO",837.87,"000 t"
"235","MYANMAR",2008,"EXPORT QUANTITY","FAO",685.66,"000 t"
"236","MYANMAR",2007,"EXPORT QUANTITY","FAO",361.86,"000 t"
"237","MYANMAR",2006,"EXPORT QUANTITY","FAO",306.51,"000 t"
"238","MYANMAR",2005,"EXPORT QUANTITY","FAO",213.01,"000 t"
"239","MYANMAR",2004,"EXPORT QUANTITY","FAO",182.23,"000 t"
"240","MYANMAR",2003,"EXPORT QUANTITY","FAO",468.14,"000 t"
"241","MYANMAR",2002,"EXPORT QUANTITY","FAO",978.37,"000 t"
"242","MYANMAR",2001,"EXPORT QUANTITY","FAO",1009.61,"000 t"
"243","MYANMAR",2000,"EXPORT QUANTITY","FAO",251.4,"000 t"
"244","MYANMAR",1999,"EXPORT QUANTITY","FAO",54.32,"000 t"
"245","MYANMAR",1998,"EXPORT QUANTITY","FAO",120.4,"000 t"
"246","MYANMAR",1997,"EXPORT QUANTITY","FAO",28.3,"000 t"
"247","MYANMAR",1996,"EXPORT QUANTITY","FAO",115.55,"000 t"
"248","MYANMAR",1995,"EXPORT QUANTITY","FAO",367.6,"000 t"
"249","MYANMAR",1994,"EXPORT QUANTITY","FAO",958.71,"000 t"
"250","MYANMAR",1993,"EXPORT QUANTITY","FAO",295.81,"000 t"
"251","MYANMAR",1992,"EXPORT QUANTITY","FAO",212.36,"000 t"
"252","MYANMAR",1991,"EXPORT QUANTITY","FAO",183.12,"000 t"
"253","MYANMAR",1990,"EXPORT QUANTITY","FAO",246.64,"000 t"
"254","MYANMAR",1989,"EXPORT QUANTITY","FAO",168.2,"000 t"
"255","MYANMAR",1988,"EXPORT QUANTITY","FAO",47.8,"000 t"
"256","MYANMAR",1987,"EXPORT QUANTITY","FAO",385.94,"000 t"
"257","MYANMAR",1986,"EXPORT QUANTITY","FAO",622.22,"000 t"
"258","MYANMAR",1985,"EXPORT QUANTITY","FAO",581.5,"000 t"
"259","MYANMAR",1984,"EXPORT QUANTITY","FAO",621.8,"000 t"
"260","MYANMAR",1983,"EXPORT QUANTITY","FAO",858.4,"000 t"
"261","MYANMAR",1982,"EXPORT QUANTITY","FAO",701.3,"000 t"
"262","MYANMAR",1981,"EXPORT QUANTITY","FAO",673.9,"000 t"
"263","MYANMAR",1980,"EXPORT QUANTITY","FAO",653.1,"000 t"
"264","MYANMAR",1979,"EXPORT QUANTITY","FAO",590.2,"000 t"
"265","MYANMAR",1978,"EXPORT QUANTITY","FAO",348.25,"000 t"
"266","MYANMAR",1977,"EXPORT QUANTITY","FAO",661.38,"000 t"
"267","MYANMAR",1976,"EXPORT QUANTITY","FAO",623.03,"000 t"
"268","MYANMAR",1975,"EXPORT QUANTITY","FAO",291.61,"000 t"
"269","MYANMAR",1974,"EXPORT QUANTITY","FAO",214.3,"000 t"
"270","MYANMAR",1973,"EXPORT QUANTITY","FAO",145.81,"000 t"
"271","MYANMAR",1972,"EXPORT QUANTITY","FAO",524.29,"000 t"
"272","MYANMAR",1971,"EXPORT QUANTITY","FAO",810.51,"000 t"
"273","MYANMAR",1970,"EXPORT QUANTITY","FAO",640.96,"000 t"
"274","MYANMAR",1969,"EXPORT QUANTITY","FAO",549.41,"000 t"
"275","MYANMAR",1968,"EXPORT QUANTITY","FAO",351.72,"000 t"
"276","MYANMAR",1967,"EXPORT QUANTITY","FAO",540.02,"000 t"
"277","MYANMAR",1966,"EXPORT QUANTITY","FAO",1127.57,"000 t"
"278","MYANMAR",1965,"EXPORT QUANTITY","FAO",1335,"000 t"
"279","MYANMAR",1964,"EXPORT QUANTITY","FAO",1413,"000 t"
"280","MYANMAR",1963,"EXPORT QUANTITY","FAO",1712.04,"000 t"
"281","MYANMAR",1962,"EXPORT QUANTITY","FAO",1717.56,"000 t"
"282","MYANMAR",1961,"EXPORT QUANTITY","FAO",1591.3,"000 t"
"283","MYANMAR",2015,"EXPORT QUANTITY","USDA",1800,"000 t"
"284","MYANMAR",2014,"EXPORT QUANTITY","USDA",1735,"000 t"
"285","MYANMAR",2013,"EXPORT QUANTITY","USDA",1688,"000 t"
"286","MYANMAR",2012,"EXPORT QUANTITY","USDA",1163,"000 t"
"287","MYANMAR",2011,"EXPORT QUANTITY","USDA",1357,"000 t"
"288","MYANMAR",2010,"EXPORT QUANTITY","USDA",1075,"000 t"
"289","MYANMAR",2009,"EXPORT QUANTITY","USDA",700,"000 t"
"290","MYANMAR",2008,"EXPORT QUANTITY","USDA",1052,"000 t"
"291","MYANMAR",2007,"EXPORT QUANTITY","USDA",541,"000 t"
"292","MYANMAR",2006,"EXPORT QUANTITY","USDA",31,"000 t"
"293","MYANMAR",2005,"EXPORT QUANTITY","USDA",47,"000 t"
"294","MYANMAR",2004,"EXPORT QUANTITY","USDA",190,"000 t"
"295","MYANMAR",2003,"EXPORT QUANTITY","USDA",130,"000 t"
"296","MYANMAR",2002,"EXPORT QUANTITY","USDA",388,"000 t"
"297","MYANMAR",2001,"EXPORT QUANTITY","USDA",1002,"000 t"
"298","MYANMAR",2000,"EXPORT QUANTITY","USDA",670,"000 t"
"299","MYANMAR",1999,"EXPORT QUANTITY","USDA",159,"000 t"
"300","MYANMAR",1998,"EXPORT QUANTITY","USDA",57,"000 t"
"301","MYANMAR",1997,"EXPORT QUANTITY","USDA",94,"000 t"
"302","MYANMAR",1996,"EXPORT QUANTITY","USDA",15,"000 t"
"303","MYANMAR",1995,"EXPORT QUANTITY","USDA",265,"000 t"
"304","MYANMAR",1994,"EXPORT QUANTITY","USDA",645,"000 t"
"305","MYANMAR",1993,"EXPORT QUANTITY","USDA",587,"000 t"
"306","MYANMAR",1992,"EXPORT QUANTITY","USDA",222,"000 t"
"307","MYANMAR",1991,"EXPORT QUANTITY","USDA",185,"000 t"
"308","MYANMAR",1990,"EXPORT QUANTITY","USDA",176,"000 t"
"309","MYANMAR",1989,"EXPORT QUANTITY","USDA",192,"000 t"
"310","MYANMAR",1988,"EXPORT QUANTITY","USDA",452,"000 t"
"311","MYANMAR",1987,"EXPORT QUANTITY","USDA",368,"000 t"
"312","MYANMAR",1986,"EXPORT QUANTITY","USDA",493,"000 t"
"313","MYANMAR",1985,"EXPORT QUANTITY","USDA",660,"000 t"
"314","MYANMAR",1984,"EXPORT QUANTITY","USDA",450,"000 t"
"315","MYANMAR",1983,"EXPORT QUANTITY","USDA",727,"000 t"
"316","MYANMAR",1982,"EXPORT QUANTITY","USDA",750,"000 t"
"317","MYANMAR",1981,"EXPORT QUANTITY","USDA",701,"000 t"
"318","MYANMAR",1980,"EXPORT QUANTITY","USDA",674,"000 t"
"319","MYANMAR",1979,"EXPORT QUANTITY","USDA",675,"000 t"
"320","MYANMAR",1978,"EXPORT QUANTITY","USDA",590,"000 t"
"321","MYANMAR",1977,"EXPORT QUANTITY","USDA",375,"000 t"
"322","MYANMAR",1976,"EXPORT QUANTITY","USDA",690,"000 t"
"323","MYANMAR",1975,"EXPORT QUANTITY","USDA",657,"000 t"
"324","MYANMAR",1974,"EXPORT QUANTITY","USDA",307,"000 t"
"325","MYANMAR",1973,"EXPORT QUANTITY","USDA",214,"000 t"
"326","MYANMAR",1972,"EXPORT QUANTITY","USDA",157,"000 t"
"327","MYANMAR",1971,"EXPORT QUANTITY","USDA",570,"000 t"
"328","MYANMAR",1970,"EXPORT QUANTITY","USDA",844,"000 t"
"329","MYANMAR",1969,"EXPORT QUANTITY","USDA",677,"000 t"
"330","MYANMAR",1968,"EXPORT QUANTITY","USDA",562,"000 t"
"331","MYANMAR",1967,"EXPORT QUANTITY","USDA",331,"000 t"
"332","MYANMAR",1966,"EXPORT QUANTITY","USDA",546,"000 t"
"333","MYANMAR",1965,"EXPORT QUANTITY","USDA",1128,"000 t"
"334","MYANMAR",1964,"EXPORT QUANTITY","USDA",1335,"000 t"
"335","MYANMAR",1963,"EXPORT QUANTITY","USDA",1413,"000 t"
"336","MYANMAR",1962,"EXPORT QUANTITY","USDA",1712,"000 t"
"337","MYANMAR",1961,"EXPORT QUANTITY","USDA",1744,"000 t"
"338","MYANMAR",1960,"EXPORT QUANTITY","USDA",1591,"000 t"
"339","MYANMAR",2013,"EXPORT VALUE","FAO",157910,"000 US$"
